Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_0/Channel_2.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_3/Channel_0.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_1/Channel_3.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_0/Channel_2.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_3/Channel_5.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_0/Channel_1.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_0/Channel_2,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_3/Channel_0,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_1/Channel_3,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_0/Channel_2,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_3/Channel_5,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_0/Channel_1,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0,
2023/08/10 11:12:35.000,19.2099609375,,,,,,,
2023/08/10 11:12:37.000,,,18.7685546875,18.9365234375,18.8076171875,,,
2023/08/10 11:12:38.000,19.205078125,19.19921875,,,,,,
2023/08/10 11:12:41.000,19.193359375,19.203125,,,,,,
2023/08/10 11:12:44.000,,,18.7548828125,18.935546875,18.8095703125,,,
2023/08/10 11:12:45.000,,,18.7744140625,18.931640625,,,,
2023/08/10 11:12:46.000,19.1982421875,19.1962890625,,,,,,
2023/08/10 11:12:48.000,,,,,,18.32421875,18.7294921875,
2023/08/10 11:12:50.000,,,,,,18.3212890625,18.7314453125,
2023/08/10 11:12:54.000,,,,,,18.31640625,18.7294921875,
2023/08/10 11:12:55.000,,,18.77734375,18.9365234375,18.8037109375,,,
2023/08/10 11:12:56.000,19.1962890625,19.1943359375,,,,,,
2023/08/10 11:12:58.000,19.2060546875,19.197265625,,,,18.3232421875,18.7265625,
2023/08/10 11:13:01.000,19.1962890625,19.203125,,,,,,
2023/08/10 11:13:04.000,,,,,,18.3271484375,18.7294921875,
2023/08/10 11:13:05.000,19.189453125,19.19921875,,,,,,
2023/08/10 11:13:09.000,19.203125,19.201171875,,,,,,
2023/08/10 11:13:11.000,,,18.7666015625,18.935546875,18.8251953125,,,
2023/08/10 11:13:14.000,19.21484375,19.19921875,,,,,,
2023/08/10 11:13:17.000,19.189453125,19.205078125,,,,,,
2023/08/10 11:13:19.000,,,18.7861328125,18.9345703125,18.8310546875,,,
2023/08/10 11:13:20.000,19.1904296875,19.2021484375,,,,,,
2023/08/10 11:13:25.000,19.2080078125,19.197265625,,,,,,
2023/08/10 11:13:29.000,19.193359375,19.203125,,,,,,
2023/08/10 11:13:34.000,,,,,,18.3212890625,18.7255859375,
2023/08/10 11:13:36.000,,,,,,18.3232421875,18.7138671875,
2023/08/10 11:13:38.000,,,,,,18.3251953125,18.724609375,
2023/08/10 11:13:40.000,19.2060546875,19.2060546875,,,,18.3193359375,18.7421875,
2023/08/10 11:13:45.000,19.19921875,19.1982421875,,,,,,
2023/08/10 11:13:49.000,19.1943359375,19.197265625,,,,,,
2023/08/10 11:13:55.000,19.203125,19.1962890625,,,,,,
2023/08/10 11:13:59.000,19.2021484375,19.19921875,,,,,,
2023/08/10 11:14:05.000,19.2099609375,19.197265625,,,,,,
2023/08/10 11:14:07.000,,,18.775390625,18.9384765625,18.8212890625,,,
2023/08/10 11:14:08.000,19.193359375,19.1982421875,,,,,,
2023/08/10 11:14:11.000,19.1982421875,19.19921875,,,,,,
2023/08/10 11:14:16.000,19.20703125,19.2021484375,,,,,,
2023/08/10 11:14:19.000,19.1982421875,19.1982421875,,,,,,
2023/08/10 11:14:20.000,,,,,,18.318359375,18.73828125,
2023/08/10 11:14:23.000,,,,,,18.3125,18.736328125,
2023/08/10 11:14:26.000,,,,,,18.31640625,18.712890625,
2023/08/10 11:14:28.000,,,,,,,18.708984375,
2023/08/10 11:14:30.000,,,,,,18.310546875,18.70703125,
2023/08/10 11:14:35.000,,,,,,18.318359375,18.7119140625,
2023/08/10 11:14:37.000,,,,,,18.3125,18.720703125,
2023/08/10 11:14:39.000,,,,,,18.3154296875,18.7255859375,
2023/08/10 11:14:40.000,,19.197265625,,,,,,
2023/08/10 11:14:45.000,19.1962890625,19.2060546875,,,,,,
2023/08/10 11:14:47.000,,,18.7783203125,,18.826171875,,,
2023/08/10 11:14:48.000,19.201171875,19.2021484375,,,,,,
2023/08/10 11:14:51.000,19.193359375,19.19921875,,,,,,
2023/08/10 11:14:54.000,,,18.791015625,18.939453125,18.83203125,,,
2023/08/10 11:14:55.000,,,18.7734375,,18.8349609375,,,
2023/08/10 11:14:56.000,19.1962890625,,,,,,,
2023/08/10 11:14:58.000,,,,,,18.3076171875,18.724609375,
2023/08/10 11:15:00.000,,,,,,18.318359375,,
2023/08/10 11:15:04.000,,,,,,18.3193359375,18.744140625,
2023/08/10 11:15:05.000,,,18.796875,18.947265625,18.83203125,,,
2023/08/10 11:15:06.000,19.201171875,19.205078125,,,,,,
2023/08/10 11:15:08.000,,,,,,18.3154296875,18.7421875,
2023/08/10 11:15:10.000,,,,,,18.3251953125,18.7314453125,
2023/08/10 11:15:11.000,,,18.791015625,18.943359375,18.8349609375,,,
2023/08/10 11:15:13.000,19.2060546875,19.1943359375,,,,,,
2023/08/10 11:15:16.000,,,,,,18.32421875,18.734375,
2023/08/10 11:15:17.000,19.201171875,19.193359375,,,,,,
2023/08/10 11:15:19.000,19.19921875,19.2080078125,,,,,,
2023/08/10 11:15:25.000,19.203125,19.2021484375,,,,,,
2023/08/10 11:15:29.000,19.1982421875,19.2080078125,,,,,,
2023/08/10 11:15:33.000,19.2060546875,19.205078125,,,,,18.7421875,
2023/08/10 11:15:37.000,19.205078125,19.203125,,,,,,
2023/08/10 11:15:39.000,,,18.7958984375,,18.8525390625,,,
2023/08/10 11:15:40.000,,19.205078125,,,,,,
2023/08/10 11:15:42.000,,,,,,18.31640625,18.72265625,
2023/08/10 11:15:43.000,19.20703125,19.2080078125,,,,,,
2023/08/10 11:15:47.000,19.203125,19.2021484375,,,,,,
2023/08/10 11:15:49.000,,,,,,18.310546875,18.716796875,
2023/08/10 11:15:50.000,,,,,,18.31640625,,
