Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_3/Channel_4.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_3/Channel_4,
2023/08/02 10:25:50.000,-32.271484375,
2023/08/02 10:26:01.000,-32.232421875,
2023/08/02 10:26:04.000,-32.2744140625,
2023/08/02 10:26:09.000,-32.248046875,
2023/08/02 10:26:24.000,-32.18359375,
2023/08/02 10:26:29.000,-32.1513671875,
2023/08/02 10:26:32.000,-32.11328125,
2023/08/02 10:26:37.000,-32.0361328125,
2023/08/02 10:26:41.000,-32.0078125,
2023/08/02 10:26:43.000,-32.0048828125,
2023/08/02 10:26:49.000,-31.935546875,
2023/08/02 10:27:08.000,-31.8388671875,
2023/08/02 10:27:14.000,-31.7333984375,
2023/08/02 10:27:19.000,-31.716796875,
2023/08/02 10:27:34.000,-31.6484375,
2023/08/02 10:27:38.000,-31.60546875,
2023/08/02 10:27:41.000,-31.658203125,
2023/08/02 10:27:44.000,-31.6455078125,
2023/08/02 10:27:49.000,-31.552734375,
2023/08/02 10:27:52.000,-31.494140625,
2023/08/02 10:27:55.000,-31.560546875,
2023/08/02 10:28:00.000,-31.5322265625,
2023/08/02 10:28:07.000,-31.580078125,
2023/08/02 10:28:12.000,-31.51953125,
2023/08/02 10:28:19.000,-31.529296875,
2023/08/02 10:28:23.000,-31.509765625,
2023/08/02 10:28:42.000,-31.4765625,
2023/08/02 10:28:45.000,-31.4892578125,
2023/08/02 10:28:50.000,-31.4658203125,
2023/08/02 10:29:01.000,-31.478515625,
2023/08/02 10:29:03.000,-31.513671875,
2023/08/02 10:29:19.000,-31.59765625,
2023/08/02 10:29:22.000,-31.6162109375,
2023/08/02 10:29:25.000,-31.5703125,
2023/08/02 10:29:30.000,-31.603515625,
2023/08/02 10:29:38.000,-31.587890625,
2023/08/02 10:29:41.000,-31.6064453125,
2023/08/02 10:29:47.000,-31.6767578125,
2023/08/02 10:29:51.000,-31.6357421875,
2023/08/02 10:29:54.000,-31.681640625,
2023/08/02 10:29:58.000,-31.6494140625,
2023/08/02 10:30:04.000,-31.67578125,
2023/08/02 10:30:10.000,-31.6259765625,
2023/08/02 10:30:13.000,-31.6435546875,
2023/08/02 10:30:20.000,-31.6474609375,
2023/08/02 10:30:23.000,-31.6533203125,
2023/08/02 10:30:32.000,-31.75,
2023/08/02 10:30:35.000,-31.6875,
2023/08/02 10:30:40.000,-31.671875,
2023/08/02 10:30:43.000,-31.7421875,
2023/08/02 10:30:49.000,-31.7353515625,
2023/08/02 10:30:59.000,-31.75390625,
2023/08/02 10:31:02.000,-31.7373046875,
2023/08/02 10:31:12.000,-31.7294921875,
2023/08/02 10:31:15.000,-31.7236328125,
2023/08/02 10:31:20.000,-31.6337890625,
2023/08/02 10:31:23.000,-31.650390625,
2023/08/02 10:31:29.000,-31.65234375,
2023/08/02 10:31:32.000,-31.6162109375,
2023/08/02 10:31:35.000,-31.59375,
2023/08/02 10:31:40.000,-31.59765625,
2023/08/02 10:31:51.000,-31.607421875,
2023/08/02 10:31:53.000,-31.5869140625,
2023/08/02 10:32:18.000,-31.41796875,
2023/08/02 10:32:21.000,-31.4150390625,
2023/08/02 10:32:31.000,-31.3662109375,
2023/08/02 10:32:33.000,-31.388671875,
2023/08/02 10:32:39.000,-31.4208984375,
2023/08/02 10:32:42.000,-31.4755859375,
2023/08/02 10:32:47.000,-31.3876953125,
2023/08/02 10:32:51.000,-31.42578125,
2023/08/02 10:33:05.000,-31.4873046875,
2023/08/02 10:33:08.000,-31.521484375,
2023/08/02 10:33:11.000,-31.4453125,
2023/08/02 10:33:14.000,-31.4501953125,
2023/08/02 10:33:19.000,-31.52734375,
2023/08/02 10:33:22.000,-31.5234375,
2023/08/02 10:33:25.000,-31.5693359375,
2023/08/02 10:33:30.000,-31.61328125,
2023/08/02 10:33:33.000,-31.5185546875,
2023/08/02 10:33:38.000,-31.6201171875,
2023/08/02 10:33:41.000,-31.6103515625,
2023/08/02 10:33:48.000,-31.6875,
2023/08/02 10:33:51.000,-31.7744140625,
2023/08/02 10:33:55.000,-31.7783203125,
2023/08/02 10:34:00.000,-31.8173828125,
2023/08/02 10:34:03.000,-31.84765625,
2023/08/02 10:34:09.000,-31.9091796875,
2023/08/02 10:34:11.000,-31.8916015625,
2023/08/02 10:34:15.000,-31.83984375,
2023/08/02 10:34:20.000,-31.9130859375,
2023/08/02 10:34:23.000,-31.9287109375,
2023/08/02 10:34:27.000,-31.9189453125,
2023/08/02 10:34:30.000,-31.9013671875,
2023/08/02 10:34:33.000,-31.8984375,
2023/08/02 10:34:37.000,-31.9130859375,
2023/08/02 10:34:41.000,-31.9384765625,
2023/08/02 10:34:44.000,-31.8720703125,
2023/08/02 10:34:49.000,-31.9287109375,
2023/08/02 10:35:04.000,-31.951171875,
2023/08/02 10:35:09.000,-31.91796875,
2023/08/02 10:35:12.000,-31.8935546875,
2023/08/02 10:35:15.000,-31.919921875,
2023/08/02 10:35:20.000,-31.931640625,
2023/08/02 10:35:28.000,-31.8701171875,
2023/08/02 10:35:31.000,-31.84375,
2023/08/02 10:35:35.000,-31.8203125,
2023/08/02 10:35:40.000,-31.8359375,
2023/08/02 10:35:43.000,-31.8291015625,
2023/08/02 10:35:48.000,-31.798828125,
2023/08/02 10:35:51.000,-31.740234375,
2023/08/02 10:35:54.000,-31.7265625,
2023/08/02 10:35:56.000,-31.7783203125,
2023/08/02 10:36:00.000,-31.7841796875,
2023/08/02 10:36:03.000,-31.7314453125,
2023/08/02 10:36:12.000,-31.650390625,
2023/08/02 10:36:15.000,-31.6220703125,
2023/08/02 10:36:22.000,-31.5693359375,
2023/08/02 10:36:25.000,-31.5458984375,
2023/08/02 10:36:29.000,-31.51953125,
2023/08/02 10:36:33.000,-31.5009765625,
2023/08/02 10:36:42.000,-31.5986328125,
2023/08/02 10:36:45.000,-31.5556640625,
2023/08/02 10:36:49.000,-31.6318359375,
2023/08/02 10:36:53.000,-31.58203125,
2023/08/02 10:36:58.000,-31.615234375,
