Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0.,
2023/07/20 09:10:38.000,-35.966796875,
2023/07/20 09:12:02.000,-36.357421875,
2023/07/20 09:13:58.000,-36.05078125,
2023/07/20 09:16:48.000,-36.3193359375,
2023/07/20 09:16:56.000,-36.318359375,
2023/07/20 09:16:58.000,-36.314453125,
2023/07/20 09:17:08.000,-36.2998046875,
2023/07/20 09:17:28.000,-36.234375,
2023/07/20 09:17:38.000,-36.19140625,
2023/07/20 09:17:48.000,-36.1640625,
2023/07/20 09:18:06.000,-36.0986328125,
2023/07/20 09:18:16.000,-36.06640625,
2023/07/20 09:18:18.000,-36.064453125,
2023/07/20 09:18:22.000,-36.052734375,
2023/07/20 09:18:34.000,-36.021484375,
2023/07/20 09:18:36.000,-36.0361328125,
2023/07/20 09:18:38.000,-36.025390625,
2023/07/20 09:18:42.000,-36.0107421875,
2023/07/20 09:18:44.000,-36.017578125,
2023/07/20 09:18:46.000,-36.0078125,
2023/07/20 09:18:48.000,-36.0126953125,
2023/07/20 09:18:56.000,-36.0107421875,
2023/07/20 09:18:58.000,-36.0068359375,
2023/07/20 09:19:04.000,-36.01171875,
2023/07/20 09:19:06.000,-36.02734375,
2023/07/20 09:19:08.000,-36.00390625,
2023/07/20 09:20:24.000,-36.25,
2023/07/20 09:20:26.000,-36.267578125,
2023/07/20 09:20:28.000,-36.26171875,
2023/07/20 09:20:32.000,-36.248046875,
2023/07/20 09:20:42.000,-36.236328125,
2023/07/20 09:20:48.000,-36.1845703125,
2023/07/20 09:20:51.000,-36.19921875,
2023/07/20 09:20:58.000,-36.1416015625,
2023/07/20 09:21:02.000,-36.109375,
2023/07/20 09:21:12.000,-36.013671875,
2023/07/20 09:21:22.000,-35.9326171875,
2023/07/20 09:21:24.000,-35.91015625,
2023/07/20 09:21:26.000,-35.8955078125,
2023/07/20 09:21:42.000,-35.7255859375,
2023/07/20 09:21:56.000,-35.6337890625,
2023/07/20 09:21:58.000,-35.603515625,
2023/07/20 09:22:04.000,-35.576171875,
2023/07/20 09:22:06.000,-35.564453125,
2023/07/20 09:22:08.000,-35.5322265625,
2023/07/20 09:22:18.000,-35.462890625,
2023/07/20 09:22:22.000,-35.431640625,
2023/07/20 09:22:32.000,-35.3701171875,
2023/07/20 09:22:34.000,-35.361328125,
2023/07/20 09:22:36.000,-35.365234375,
2023/07/20 09:22:38.000,-35.32421875,
2023/07/20 09:22:42.000,-35.306640625,
2023/07/20 09:22:52.000,-35.2763671875,
2023/07/20 09:22:58.000,-35.2392578125,
2023/07/20 09:23:02.000,-35.23046875,
2023/07/20 09:23:12.000,-35.1796875,
2023/07/20 09:23:14.000,-35.189453125,
2023/07/20 09:23:16.000,-35.1708984375,
2023/07/20 09:23:18.000,-35.1767578125,
2023/07/20 09:23:22.000,-35.169921875,
2023/07/20 09:23:36.000,-35.1650390625,
2023/07/20 09:23:38.000,-35.1923828125,
2023/07/20 09:23:43.000,-35.16796875,
2023/07/20 09:23:48.000,-35.1865234375,
2023/07/20 09:23:52.000,-35.1884765625,
2023/07/20 09:23:54.000,-35.2158203125,
2023/07/20 09:23:56.000,-35.2109375,
2023/07/20 09:23:58.000,-35.2265625,
