Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_0/Channel_2.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,Third RTD,
2023/07/25 10:11:22.000,-35.4560546875,
2023/07/25 10:14:04.000,-35.1533203125,
2023/07/25 10:16:15.000,-35.5146484375,
2023/07/25 10:18:01.000,-35.185546875,
2023/07/25 10:20:41.000,-35.55078125,
2023/07/25 10:22:39.000,-35.0927734375,
2023/07/25 10:25:45.000,-35.3935546875,
2023/07/25 10:26:57.000,-35.0634765625,
2023/07/25 10:27:38.000,-34.9892578125,
2023/07/25 10:27:47.000,-35.0078125,
2023/07/25 10:27:57.000,-35.03515625,
2023/07/25 10:28:18.000,-35.1435546875,
2023/07/25 10:28:38.000,-35.24609375,
2023/07/25 10:28:59.000,-35.4111328125,
2023/07/25 10:29:03.000,-35.4169921875,
2023/07/25 10:29:19.000,-35.517578125,
2023/07/25 10:29:33.000,-35.5390625,
2023/07/25 10:30:00.000,-35.556640625,
2023/07/25 10:30:16.000,-35.52734375,
2023/07/25 10:30:19.000,-35.5224609375,
2023/07/25 10:31:03.000,-35.3193359375,
2023/07/25 10:31:13.000,-35.2685546875,
2023/07/25 10:31:21.000,-35.216796875,
2023/07/25 10:31:29.000,-35.1806640625,
2023/07/25 10:31:39.000,-35.1513671875,
2023/07/25 10:32:13.000,-35.0634765625,
2023/07/25 10:32:21.000,-35.0595703125,
2023/07/25 10:32:49.000,-35.1435546875,
2023/07/25 10:33:03.000,-35.2275390625,
2023/07/25 10:33:23.000,-35.361328125,
2023/07/25 10:33:41.000,-35.46875,
2023/07/25 10:34:09.000,-35.515625,
2023/07/25 10:34:17.000,-35.4990234375,
2023/07/25 10:34:27.000,-35.48046875,
2023/07/25 10:34:50.000,-35.3671875,
2023/07/25 10:34:51.000,-35.3486328125,
2023/07/25 10:35:06.000,-35.271484375,
2023/07/25 10:35:09.000,-35.263671875,
2023/07/25 10:35:21.000,-35.197265625,
2023/07/25 10:35:43.000,-35.0888671875,
2023/07/25 10:35:51.000,-35.033203125,
2023/07/25 10:36:08.000,-35.00390625,
2023/07/25 10:36:21.000,-35.0048828125,
2023/07/25 10:36:29.000,-35.0126953125,
2023/07/25 10:36:36.000,-35.0322265625,
2023/07/25 10:37:19.000,-35.2236328125,
2023/07/25 10:37:29.000,-35.2919921875,
2023/07/25 10:37:39.000,-35.3564453125,
2023/07/25 10:37:51.000,-35.4033203125,
2023/07/25 10:38:21.000,-35.46484375,
2023/07/25 10:38:27.000,-35.4638671875,
2023/07/25 10:39:09.000,-35.33984375,
2023/07/25 10:39:38.000,-35.1806640625,
2023/07/25 10:39:49.000,-35.138671875,
2023/07/25 10:40:02.000,-35.0693359375,
2023/07/25 10:40:11.000,-35.0302734375,
2023/07/25 10:40:28.000,-34.9814453125,
2023/07/25 10:40:29.000,-34.9775390625,
2023/07/25 10:40:48.000,-34.9833984375,
2023/07/25 10:41:21.000,-35.1181640625,
2023/07/25 10:41:36.000,-35.203125,
2023/07/25 10:41:49.000,-35.2724609375,
2023/07/25 10:42:01.000,-35.34375,
2023/07/25 10:42:16.000,-35.4267578125,
2023/07/25 10:42:24.000,-35.44140625,
2023/07/25 10:42:31.000,-35.462890625,
2023/07/25 10:42:39.000,-35.455078125,
2023/07/25 10:42:46.000,-35.443359375,
2023/07/25 10:42:57.000,-35.427734375,
2023/07/25 10:43:03.000,-35.4072265625,
2023/07/25 10:43:11.000,-35.380859375,
2023/07/25 10:43:43.000,-35.291015625,
2023/07/25 10:43:51.000,-35.234375,
2023/07/25 10:44:06.000,-35.134765625,
2023/07/25 10:44:14.000,-35.115234375,
2023/07/25 10:44:23.000,-35.0830078125,
2023/07/25 10:44:37.000,-35.0361328125,
2023/07/25 10:44:47.000,-34.9892578125,
2023/07/25 10:44:57.000,-34.9755859375,
2023/07/25 10:45:49.000,-35.0517578125,
2023/07/25 10:46:07.000,-35.173828125,
2023/07/25 10:46:23.000,-35.279296875,
2023/07/25 10:46:51.000,-35.4404296875,
2023/07/25 10:47:06.000,-35.48828125,
2023/07/25 10:47:13.000,-35.501953125,
2023/07/25 10:47:27.000,-35.5146484375,
2023/07/25 10:47:41.000,-35.5,
2023/07/25 10:47:56.000,-35.4638671875,
2023/07/25 10:48:09.000,-35.400390625,
2023/07/25 10:48:15.000,-35.365234375,
2023/07/25 10:48:23.000,-35.31640625,
2023/07/25 10:48:31.000,-35.2646484375,
2023/07/25 10:48:46.000,-35.18359375,
2023/07/25 10:49:11.000,-35.0205078125,
2023/07/25 10:49:26.000,-34.92578125,
2023/07/25 10:49:39.000,-34.90625,
2023/07/25 10:50:31.000,-34.9423828125,
2023/07/25 10:50:45.000,-34.9814453125,
2023/07/25 10:50:53.000,-35.041015625,
2023/07/25 10:51:05.000,-35.12109375,
2023/07/25 10:51:19.000,-35.2744140625,
2023/07/25 10:51:29.000,-35.365234375,
2023/07/25 10:52:31.000,-35.27734375,
2023/07/25 10:52:51.000,-35.064453125,
2023/07/25 10:53:01.000,-34.9658203125,
2023/07/25 10:53:24.000,-34.791015625,
2023/07/25 10:53:45.000,-34.6865234375,
