Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_0/Channel_2.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,New RTD #3,
2023/07/25 10:27:41.000,-34.5068359375,
2023/07/25 10:27:48.000,-34.509765625,
2023/07/25 10:27:51.000,-34.51953125,
2023/07/25 10:27:58.000,-34.525390625,
2023/07/25 10:28:01.000,-34.533203125,
2023/07/25 10:28:19.000,-34.5703125,
2023/07/25 10:28:23.000,-34.5869140625,
2023/07/25 10:28:28.000,-34.6083984375,
2023/07/25 10:28:39.000,-34.6533203125,
2023/07/25 10:28:43.000,-34.6611328125,
2023/07/25 10:28:47.000,-34.6826171875,
2023/07/25 10:28:51.000,-34.705078125,
2023/07/25 10:28:57.000,-34.7255859375,
2023/07/25 10:29:01.000,-34.748046875,
2023/07/25 10:29:05.000,-34.767578125,
2023/07/25 10:29:09.000,-34.7939453125,
2023/07/25 10:29:11.000,-34.802734375,
2023/07/25 10:29:17.000,-34.8095703125,
2023/07/25 10:29:20.000,-34.830078125,
2023/07/25 10:29:23.000,-34.8447265625,
2023/07/25 10:29:28.000,-34.865234375,
2023/07/25 10:29:36.000,-34.87890625,
2023/07/25 10:29:39.000,-34.88671875,
2023/07/25 10:29:43.000,-34.8955078125,
2023/07/25 10:29:48.000,-34.9052734375,
2023/07/25 10:29:51.000,-34.9072265625,
2023/07/25 10:29:57.000,-34.9111328125,
2023/07/25 10:30:01.000,-34.912109375,
2023/07/25 10:30:17.000,-34.9111328125,
2023/07/25 10:30:20.000,-34.900390625,
2023/07/25 10:30:30.000,-34.8837890625,
2023/07/25 10:30:33.000,-34.8857421875,
2023/07/25 10:30:38.000,-34.87890625,
2023/07/25 10:30:41.000,-34.8681640625,
2023/07/25 10:30:46.000,-34.8603515625,
2023/07/25 10:30:50.000,-34.841796875,
2023/07/25 10:30:53.000,-34.837890625,
2023/07/25 10:30:58.000,-34.8115234375,
2023/07/25 10:31:01.000,-34.8076171875,
2023/07/25 10:31:05.000,-34.7900390625,
2023/07/25 10:31:08.000,-34.77734375,
2023/07/25 10:31:11.000,-34.771484375,
2023/07/25 10:31:15.000,-34.7509765625,
2023/07/25 10:31:19.000,-34.740234375,
2023/07/25 10:31:22.000,-34.724609375,
2023/07/25 10:31:27.000,-34.7119140625,
2023/07/25 10:31:30.000,-34.7001953125,
2023/07/25 10:31:32.000,-34.6962890625,
2023/07/25 10:31:37.000,-34.6826171875,
2023/07/25 10:31:40.000,-34.669921875,
2023/07/25 10:31:57.000,-34.619140625,
2023/07/25 10:31:59.000,-34.6123046875,
2023/07/25 10:32:03.000,-34.5986328125,
2023/07/25 10:32:08.000,-34.5849609375,
2023/07/25 10:32:16.000,-34.56640625,
2023/07/25 10:32:19.000,-34.568359375,
2023/07/25 10:32:22.000,-34.5673828125,
2023/07/25 10:32:42.000,-34.5712890625,
2023/07/25 10:32:47.000,-34.5751953125,
2023/07/25 10:32:50.000,-34.58984375,
2023/07/25 10:32:53.000,-34.6025390625,
2023/07/25 10:32:58.000,-34.6083984375,
2023/07/25 10:33:06.000,-34.6357421875,
2023/07/25 10:33:09.000,-34.654296875,
2023/07/25 10:33:13.000,-34.677734375,
2023/07/25 10:33:18.000,-34.701171875,
2023/07/25 10:33:21.000,-34.7138671875,
2023/07/25 10:33:25.000,-34.73828125,
2023/07/25 10:33:36.000,-34.78515625,
2023/07/25 10:33:39.000,-34.79296875,
2023/07/25 10:33:42.000,-34.81640625,
2023/07/25 10:33:47.000,-34.8212890625,
2023/07/25 10:34:02.000,-34.873046875,
2023/07/25 10:34:07.000,-34.8779296875,
2023/07/25 10:34:18.000,-34.8798828125,
2023/07/25 10:34:21.000,-34.875,
2023/07/25 10:34:28.000,-34.8671875,
2023/07/25 10:34:31.000,-34.8701171875,
