Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_1/Channel_3.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_1/Channel_3.,
2023/07/26 09:08:16.000,-31.0947265625,
2023/07/26 09:08:27.000,-31.087890625,
2023/07/26 09:08:35.000,-31.0693359375,
2023/07/26 09:08:41.000,-31.0712890625,
2023/07/26 09:08:51.000,-31.048828125,
2023/07/26 09:09:43.000,-31.01171875,
2023/07/26 09:10:22.000,-31.029296875,
2023/07/26 09:10:23.000,-31.0087890625,
2023/07/26 09:10:55.000,-31.01171875,
2023/07/26 09:11:03.000,-31.0078125,
2023/07/26 09:11:49.000,-30.9892578125,
2023/07/26 09:11:57.000,-30.9736328125,
2023/07/26 09:12:15.000,-30.9716796875,
2023/07/26 09:12:27.000,-30.966796875,
2023/07/26 09:12:35.000,-30.974609375,
2023/07/26 09:12:42.000,-30.9765625,
2023/07/26 09:12:43.000,-30.9755859375,
2023/07/26 09:12:57.000,-30.98046875,
2023/07/26 09:13:18.000,-30.9599609375,
2023/07/26 09:13:25.000,-30.9716796875,
2023/07/26 09:13:35.000,-30.9609375,
2023/07/26 09:13:43.000,-30.974609375,
2023/07/26 09:13:55.000,-30.98046875,
2023/07/26 09:14:15.000,-31,
2023/07/26 09:14:47.000,-31.005859375,
2023/07/26 09:14:53.000,-31.0068359375,
2023/07/26 09:15:03.000,-31.0126953125,
2023/07/26 09:15:13.000,-31,
2023/07/26 09:15:20.000,-31.0087890625,
2023/07/26 09:15:28.000,-30.9990234375,
2023/07/26 09:15:48.000,-30.9736328125,
2023/07/26 09:15:50.000,-30.9609375,
2023/07/26 09:16:02.000,-30.9560546875,
2023/07/26 09:16:13.000,-30.9365234375,
2023/07/26 09:16:25.000,-30.8876953125,
2023/07/26 09:16:55.000,-30.822265625,
2023/07/26 09:17:25.000,-30.73828125,
2023/07/26 09:17:57.000,-30.646484375,
2023/07/26 09:18:20.000,-30.6259765625,
2023/07/26 09:19:15.000,-30.46875,
2023/07/26 09:19:23.000,-30.4716796875,
2023/07/26 09:19:30.000,-30.4306640625,
2023/07/26 09:19:37.000,-30.4052734375,
2023/07/26 09:19:57.000,-30.3759765625,
2023/07/26 09:20:13.000,-30.32421875,
2023/07/26 09:20:20.000,-30.3115234375,
2023/07/26 09:20:27.000,-30.283203125,
2023/07/26 09:20:51.000,-30.2392578125,
2023/07/26 09:20:57.000,-30.2138671875,
2023/07/26 09:21:10.000,-30.2041015625,
2023/07/26 09:21:21.000,-30.19140625,
2023/07/26 09:21:27.000,-30.185546875,
2023/07/26 09:21:35.000,-30.171875,
2023/07/26 09:21:53.000,-30.1787109375,
2023/07/26 09:22:03.000,-30.14453125,
2023/07/26 09:22:13.000,-30.15234375,
2023/07/26 09:23:04.000,-30.1611328125,
2023/07/26 09:23:31.000,-30.185546875,
2023/07/26 09:24:05.000,-30.18359375,
2023/07/26 09:24:23.000,-30.1396484375,
2023/07/26 09:24:33.000,-30.125,
2023/07/26 09:24:43.000,-30.1005859375,
2023/07/26 09:24:53.000,-30.0703125,
2023/07/26 09:24:59.000,-30.0625,
2023/07/26 09:25:05.000,-30.021484375,
2023/07/26 09:25:20.000,-29.943359375,
2023/07/26 09:26:01.000,-29.771484375,
2023/07/26 09:26:55.000,-29.6083984375,
2023/07/26 09:27:22.000,-29.505859375,
2023/07/26 09:27:27.000,-29.515625,
2023/07/26 09:27:35.000,-29.4775390625,
2023/07/26 09:27:58.000,-29.427734375,
2023/07/26 09:28:05.000,-29.3955078125,
2023/07/26 09:28:20.000,-29.37109375,
2023/07/26 09:29:11.000,-29.376953125,
2023/07/26 09:29:46.000,-29.47265625,
2023/07/26 09:30:01.000,-29.5439453125,
2023/07/26 09:30:15.000,-29.591796875,
2023/07/26 09:30:44.000,-29.767578125,
2023/07/26 09:30:55.000,-29.83984375,
2023/07/26 09:31:07.000,-29.9423828125,
2023/07/26 09:31:43.000,-30.2841796875,
2023/07/26 09:32:17.000,-30.55078125,
2023/07/26 09:32:35.000,-30.7783203125,
2023/07/26 09:32:49.000,-30.8623046875,
2023/07/26 09:33:10.000,-31.0732421875,
2023/07/26 09:33:17.000,-31.1669921875,
2023/07/26 09:33:23.000,-31.197265625,
2023/07/26 09:33:57.000,-31.580078125,
2023/07/26 09:34:04.000,-31.6533203125,
2023/07/26 09:34:05.000,-31.654296875,
2023/07/26 09:34:35.000,-31.9150390625,
