Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_0/Channel_2.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,Third RTD,
2023/08/02 09:10:05.000,-35.193359375,
2023/08/02 09:11:45.000,-35.5068359375,
2023/08/02 09:14:03.000,-35.16015625,
2023/08/02 09:15:37.000,-35.490234375,
2023/08/02 09:22:03.000,-35.1787109375,
2023/08/02 09:23:51.000,-35.529296875,
2023/08/02 09:25:29.000,-35.2275390625,
2023/08/02 09:31:52.000,-35.5302734375,
2023/08/02 09:33:23.000,-35.21875,
2023/08/02 09:35:55.000,-35.54296875,
2023/08/02 09:37:28.000,-35.193359375,
2023/08/02 09:39:42.000,-35.4990234375,
2023/08/02 09:41:56.000,-35.16015625,
2023/08/02 09:43:32.000,-35.50390625,
2023/08/02 09:49:31.000,-35.1865234375,
2023/08/02 09:51:05.000,-35.537109375,
2023/08/02 09:53:23.000,-35.1806640625,
2023/08/02 09:55:02.000,-35.5224609375,
2023/08/02 09:57:10.000,-35.203125,
2023/08/02 09:58:37.000,-35.513671875,
2023/08/02 10:04:39.000,-35.2001953125,
2023/08/02 10:06:29.000,-35.529296875,
2023/08/02 10:08:19.000,-35.2138671875,
2023/08/02 10:10:11.000,-35.5185546875,
2023/08/02 10:12:21.000,-35.2119140625,
2023/08/02 10:13:51.000,-35.52734375,
2023/08/02 10:15:39.000,-35.22265625,
2023/08/02 10:15:59.000,-35.1435546875,
2023/08/02 10:16:06.000,-35.1328125,
2023/08/02 10:16:27.000,-35.107421875,
2023/08/02 10:16:46.000,-35.1435546875,
2023/08/02 10:16:49.000,-35.1494140625,
2023/08/02 10:16:56.000,-35.1982421875,
2023/08/02 10:17:07.000,-35.2626953125,
2023/08/02 10:17:13.000,-35.287109375,
2023/08/02 10:17:46.000,-35.46875,
2023/08/02 10:18:16.000,-35.5244140625,
2023/08/02 10:18:24.000,-35.5107421875,
2023/08/02 10:18:31.000,-35.4951171875,
2023/08/02 10:18:39.000,-35.482421875,
2023/08/02 10:18:46.000,-35.4443359375,
2023/08/02 10:18:53.000,-35.4091796875,
2023/08/02 10:19:17.000,-35.283203125,
2023/08/02 10:19:27.000,-35.2275390625,
2023/08/02 10:19:37.000,-35.1806640625,
2023/08/02 10:20:18.000,-35.1376953125,
2023/08/02 10:20:29.000,-35.16796875,
2023/08/02 10:20:41.000,-35.1953125,
2023/08/02 10:20:56.000,-35.2587890625,
2023/08/02 10:21:04.000,-35.3095703125,
2023/08/02 10:21:11.000,-35.35546875,
2023/08/02 10:21:19.000,-35.390625,
2023/08/02 10:21:54.000,-35.52734375,
2023/08/02 10:22:01.000,-35.515625,
2023/08/02 10:22:09.000,-35.509765625,
2023/08/02 10:22:16.000,-35.5009765625,
2023/08/02 10:22:28.000,-35.4853515625,
2023/08/02 10:22:46.000,-35.4296875,
2023/08/02 10:23:01.000,-35.3662109375,
2023/08/02 10:23:16.000,-35.2978515625,
2023/08/02 10:23:29.000,-35.2490234375,
2023/08/02 10:23:41.000,-35.2255859375,
