Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_1/Channel_3.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_1/Channel_3.,
2023/08/02 10:15:59.000,-31.666015625,
2023/08/02 10:16:06.000,-31.677734375,
2023/08/02 10:16:27.000,-31.654296875,
2023/08/02 10:16:46.000,-31.630859375,
2023/08/02 10:16:49.000,-31.666015625,
2023/08/02 10:16:56.000,-31.6455078125,
2023/08/02 10:17:07.000,-31.630859375,
2023/08/02 10:17:46.000,-31.6162109375,
2023/08/02 10:18:16.000,-31.611328125,
2023/08/02 10:18:24.000,-31.5869140625,
2023/08/02 10:18:31.000,-31.603515625,
2023/08/02 10:18:39.000,-31.6259765625,
2023/08/02 10:18:46.000,-31.6240234375,
2023/08/02 10:18:53.000,-31.603515625,
2023/08/02 10:19:17.000,-31.6357421875,
2023/08/02 10:19:27.000,-31.6337890625,
2023/08/02 10:19:37.000,-31.640625,
2023/08/02 10:20:18.000,-31.6357421875,
2023/08/02 10:20:19.000,-31.6318359375,
2023/08/02 10:20:29.000,-31.626953125,
2023/08/02 10:20:41.000,-31.6298828125,
2023/08/02 10:20:56.000,-31.6171875,
2023/08/02 10:21:04.000,-31.611328125,
2023/08/02 10:21:11.000,-31.6123046875,
2023/08/02 10:21:19.000,-31.6162109375,
2023/08/02 10:21:54.000,-31.6064453125,
2023/08/02 10:22:01.000,-31.6025390625,
2023/08/02 10:22:09.000,-31.615234375,
2023/08/02 10:22:16.000,-31.603515625,
2023/08/02 10:22:28.000,-31.6171875,
2023/08/02 10:22:46.000,-31.6220703125,
2023/08/02 10:23:01.000,-31.630859375,
2023/08/02 10:23:16.000,-31.6494140625,
2023/08/02 10:23:29.000,-31.6435546875,
2023/08/02 10:23:41.000,-31.6396484375,
2023/08/02 10:23:51.000,-31.6435546875,
2023/08/02 10:24:21.000,-31.6396484375,
2023/08/02 10:24:31.000,-31.6337890625,
2023/08/02 10:24:41.000,-31.625,
2023/08/02 10:24:47.000,-31.634765625,
2023/08/02 10:25:06.000,-31.6083984375,
2023/08/02 10:25:21.000,-31.583984375,
2023/08/02 10:25:41.000,-31.5556640625,
2023/08/02 10:26:00.000,-31.5390625,
2023/08/02 10:26:03.000,-31.5341796875,
2023/08/02 10:26:31.000,-31.4951171875,
2023/08/02 10:26:35.000,-31.5146484375,
2023/08/02 10:27:07.000,-31.4658203125,
2023/08/02 10:27:13.000,-31.458984375,
2023/08/02 10:27:43.000,-31.392578125,
2023/08/02 10:27:51.000,-31.37109375,
2023/08/02 10:28:06.000,-31.3125,
2023/08/02 10:28:18.000,-31.2783203125,
2023/08/02 10:28:40.000,-31.2158203125,
2023/08/02 10:28:59.000,-31.1572265625,
2023/08/02 10:29:18.000,-31.111328125,
2023/08/02 10:29:21.000,-31.099609375,
2023/08/02 10:29:35.000,-31.0478515625,
2023/08/02 10:30:03.000,-30.9970703125,
2023/08/02 10:30:09.000,-30.9853515625,
2023/08/02 10:30:19.000,-30.970703125,
2023/08/02 10:30:58.000,-30.9013671875,
2023/08/02 10:31:31.000,-30.86328125,
2023/08/02 10:31:49.000,-30.841796875,
2023/08/02 10:32:41.000,-30.76953125,
2023/08/02 10:33:13.000,-30.71875,
2023/08/02 10:33:21.000,-30.7236328125,
2023/08/02 10:33:35.000,-30.7138671875,
2023/08/02 10:33:45.000,-30.697265625,
2023/08/02 10:34:35.000,-30.6953125,
2023/08/02 10:34:43.000,-30.6884765625,
2023/08/02 10:35:11.000,-30.7041015625,
2023/08/02 10:35:25.000,-30.7119140625,
2023/08/02 10:35:45.000,-30.734375,
2023/08/02 10:35:53.000,-30.7119140625,
2023/08/02 10:36:11.000,-30.72265625,
2023/08/02 10:36:21.000,-30.7294921875,
2023/08/02 10:36:28.000,-30.73046875,
2023/08/02 10:36:41.000,-30.7177734375,
2023/08/02 10:36:48.000,-30.7333984375,
2023/08/02 10:36:55.000,-30.73046875,
2023/08/02 10:37:55.000,-30.6591796875,
2023/08/02 10:38:01.000,-30.6630859375,
2023/08/02 10:38:13.000,-30.6552734375,
2023/08/02 10:38:33.000,-30.6318359375,
2023/08/02 10:38:51.000,-30.630859375,
2023/08/02 10:39:03.000,-30.6396484375,
2023/08/02 10:39:18.000,-30.623046875,
2023/08/02 10:39:31.000,-30.5947265625,
2023/08/02 10:39:43.000,-30.5673828125,
2023/08/02 10:39:58.000,-30.5302734375,
2023/08/02 10:40:06.000,-30.51171875,
2023/08/02 10:40:13.000,-30.4873046875,
2023/08/02 10:40:23.000,-30.4560546875,
2023/08/02 10:40:31.000,-30.4267578125,
2023/08/02 10:40:38.000,-30.4130859375,
2023/08/02 10:41:04.000,-30.29296875,
2023/08/02 10:41:10.000,-30.263671875,
2023/08/02 10:41:18.000,-30.2275390625,
2023/08/02 10:41:41.000,-30.1416015625,
2023/08/02 10:41:43.000,-30.1572265625,
2023/08/02 10:41:55.000,-30.0791015625,
2023/08/02 10:42:21.000,-29.9755859375,
2023/08/02 10:42:28.000,-29.9609375,
2023/08/02 10:42:33.000,-29.9462890625,
2023/08/02 10:42:45.000,-29.900390625,
2023/08/02 10:43:15.000,-29.794921875,
2023/08/02 10:43:45.000,-29.6748046875,
2023/08/02 10:43:51.000,-29.6796875,
2023/08/02 10:43:58.000,-29.6220703125,
2023/08/02 10:44:05.000,-29.55859375,
2023/08/02 10:44:13.000,-29.533203125,
2023/08/02 10:44:49.000,-29.3486328125,
2023/08/02 10:44:58.000,-29.2294921875,
2023/08/02 10:45:10.000,-29.17578125,
2023/08/02 10:45:33.000,-29.0009765625,
2023/08/02 10:45:45.000,-28.943359375,
2023/08/02 10:45:59.000,-28.8671875,
2023/08/02 10:46:21.000,-28.7666015625,
2023/08/02 10:46:23.000,-28.75390625,
2023/08/02 10:46:43.000,-28.6787109375,
2023/08/02 10:47:03.000,-28.5830078125,
2023/08/02 10:47:45.000,-28.4384765625,
2023/08/02 10:48:01.000,-28.373046875,
2023/08/02 10:48:11.000,-28.3359375,
2023/08/02 10:48:21.000,-28.3134765625,
2023/08/02 10:48:31.000,-28.275390625,
2023/08/02 10:48:41.000,-28.24609375,
2023/08/02 10:48:47.000,-28.2119140625,
2023/08/02 10:48:56.000,-28.1962890625,
2023/08/02 10:49:13.000,-28.1455078125,
2023/08/02 10:49:28.000,-28.09375,
2023/08/02 10:49:36.000,-28.1044921875,
2023/08/02 10:49:37.000,-28.087890625,
2023/08/02 10:49:50.000,-28.0625,
2023/08/02 10:49:53.000,-28.0673828125,
2023/08/02 10:50:10.000,-28.0244140625,
2023/08/02 10:50:13.000,-28.01953125,
2023/08/02 10:50:47.000,-27.92578125,
2023/08/02 10:51:20.000,-27.8349609375,
2023/08/02 10:51:23.000,-27.80078125,
2023/08/02 10:51:45.000,-27.759765625,
2023/08/02 10:52:03.000,-27.69921875,
2023/08/02 10:52:32.000,-27.5888671875,
2023/08/02 10:52:33.000,-27.5859375,
2023/08/02 10:52:55.000,-27.517578125,
2023/08/02 10:53:44.000,-27.3896484375,
2023/08/02 10:53:57.000,-27.384765625,
2023/08/02 10:54:35.000,-27.314453125,
2023/08/02 10:54:43.000,-27.3134765625,
2023/08/02 10:54:53.000,-27.30859375,
2023/08/02 10:55:13.000,-27.2587890625,
2023/08/02 10:55:27.000,-27.2666015625,
2023/08/02 10:55:35.000,-27.26171875,
2023/08/02 10:56:01.000,-27.2294921875,
2023/08/02 10:56:11.000,-27.2119140625,
2023/08/02 10:56:43.000,-27.1640625,
2023/08/02 10:57:33.000,-27.119140625,
2023/08/02 10:57:40.000,-27.138671875,
2023/08/02 10:57:47.000,-27.1044921875,
2023/08/02 10:58:01.000,-27.1103515625,
2023/08/02 10:58:11.000,-27.095703125,
2023/08/02 10:58:25.000,-27.0986328125,
2023/08/02 10:58:37.000,-27.103515625,
2023/08/02 10:58:53.000,-27.1123046875,
2023/08/02 10:59:01.000,-27.10546875,
2023/08/02 10:59:03.000,-27.1044921875,
2023/08/02 10:59:13.000,-27.08984375,
2023/08/02 10:59:30.000,-27.076171875,
2023/08/02 11:00:07.000,-27.041015625,
2023/08/02 11:00:23.000,-27.0224609375,
2023/08/02 11:00:31.000,-27.0244140625,
2023/08/02 11:00:37.000,-27.009765625,
2023/08/02 11:00:54.000,-26.98828125,
2023/08/02 11:00:55.000,-26.9931640625,
2023/08/02 11:01:12.000,-26.9873046875,
2023/08/02 11:01:20.000,-26.9599609375,
2023/08/02 11:01:25.000,-26.9697265625,
