Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_2/Channel_0.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,Thirteenth RTD,
2023/08/02 10:15:59.000,-8.0283203125,
2023/08/02 10:16:06.000,-8.0341796875,
2023/08/02 10:16:27.000,-8.0390625,
2023/08/02 10:16:46.000,-8.048828125,
2023/08/02 10:16:49.000,-8.046875,
2023/08/02 10:16:56.000,-8.041015625,
2023/08/02 10:17:07.000,-8.029296875,
2023/08/02 10:17:13.000,-8.0302734375,
2023/08/02 10:17:46.000,-8.02734375,
2023/08/02 10:18:16.000,-8.037109375,
2023/08/02 10:18:24.000,-8.0439453125,
2023/08/02 10:18:31.000,-8.0419921875,
2023/08/02 10:18:39.000,-8.0390625,
2023/08/02 10:18:46.000,-8.0478515625,
2023/08/02 10:18:53.000,-8.0458984375,
2023/08/02 10:19:17.000,-8.0439453125,
2023/08/02 10:19:27.000,-8.0390625,
2023/08/02 10:19:37.000,-8.0302734375,
2023/08/02 10:20:18.000,-8.0556640625,
2023/08/02 10:20:19.000,-8.056640625,
2023/08/02 10:20:41.000,-8.0517578125,
2023/08/02 10:20:56.000,-8.04296875,
2023/08/02 10:21:04.000,-8.03515625,
2023/08/02 10:21:11.000,-8.0244140625,
2023/08/02 10:21:19.000,-8.0302734375,
2023/08/02 10:21:54.000,-8.0478515625,
2023/08/02 10:22:01.000,-8.0439453125,
2023/08/02 10:22:09.000,-8.037109375,
2023/08/02 10:22:16.000,-8.0283203125,
2023/08/02 10:22:28.000,-8.029296875,
2023/08/02 10:22:46.000,-8.033203125,
2023/08/02 10:23:01.000,-8.0390625,
2023/08/02 10:23:16.000,-8.0439453125,
2023/08/02 10:23:29.000,-8.0322265625,
2023/08/02 10:23:41.000,-8.0380859375,
2023/08/02 10:23:51.000,-8.0341796875,
2023/08/02 10:24:21.000,-8.05078125,
2023/08/02 10:24:31.000,-8.0439453125,
2023/08/02 10:24:41.000,-8.033203125,
2023/08/02 10:24:47.000,-8.0244140625,
2023/08/02 10:25:06.000,-8.015625,
2023/08/02 10:25:21.000,-8.02734375,
2023/08/02 10:25:41.000,-8.0302734375,
2023/08/02 10:26:00.000,-8.025390625,
2023/08/02 10:26:03.000,-8.02734375,
2023/08/02 10:26:31.000,-8.0234375,
2023/08/02 10:26:35.000,-8.025390625,
2023/08/02 10:27:07.000,-7.99609375,
2023/08/02 10:27:13.000,-7.9873046875,
2023/08/02 10:27:43.000,-7.9697265625,
2023/08/02 10:27:51.000,-7.9658203125,
2023/08/02 10:28:06.000,-7.947265625,
2023/08/02 10:28:18.000,-7.9482421875,
2023/08/02 10:28:40.000,-7.9375,
2023/08/02 10:28:41.000,-7.943359375,
2023/08/02 10:28:59.000,-7.9296875,
2023/08/02 10:29:18.000,-7.8974609375,
2023/08/02 10:29:21.000,-7.8984375,
2023/08/02 10:29:35.000,-7.8935546875,
2023/08/02 10:30:03.000,-7.87890625,
2023/08/02 10:30:19.000,-7.8798828125,
2023/08/02 10:30:58.000,-7.8505859375,
2023/08/02 10:31:31.000,-7.83203125,
2023/08/02 10:31:49.000,-7.8193359375,
2023/08/02 10:32:41.000,-7.80078125,
2023/08/02 10:33:13.000,-7.771484375,
2023/08/02 10:33:21.000,-7.763671875,
2023/08/02 10:33:35.000,-7.759765625,
2023/08/02 10:33:45.000,-7.7421875,
2023/08/02 10:34:25.000,-7.740234375,
2023/08/02 10:34:35.000,-7.7275390625,
2023/08/02 10:34:43.000,-7.71875,
2023/08/02 10:35:11.000,-7.7060546875,
2023/08/02 10:35:25.000,-7.6826171875,
2023/08/02 10:35:45.000,-7.6884765625,
2023/08/02 10:35:53.000,-7.6787109375,
2023/08/02 10:36:11.000,-7.6708984375,
2023/08/02 10:36:21.000,-7.66796875,
2023/08/02 10:36:28.000,-7.6494140625,
2023/08/02 10:36:41.000,-7.6455078125,
2023/08/02 10:36:48.000,-7.6435546875,
2023/08/02 10:36:55.000,-7.6455078125,
2023/08/02 10:37:55.000,-7.6064453125,
2023/08/02 10:38:01.000,-7.6025390625,
2023/08/02 10:38:13.000,-7.5927734375,
2023/08/02 10:38:33.000,-7.578125,
2023/08/02 10:38:51.000,-7.583984375,
2023/08/02 10:39:03.000,-7.576171875,
2023/08/02 10:39:18.000,-7.5732421875,
2023/08/02 10:39:31.000,-7.56640625,
2023/08/02 10:39:43.000,-7.5439453125,
2023/08/02 10:39:58.000,-7.544921875,
2023/08/02 10:40:06.000,-7.5419921875,
2023/08/02 10:40:13.000,-7.546875,
2023/08/02 10:40:23.000,-7.5400390625,
2023/08/02 10:40:31.000,-7.5390625,
2023/08/02 10:40:38.000,-7.5302734375,
2023/08/02 10:41:04.000,-7.5029296875,
2023/08/02 10:41:05.000,-7.50390625,
2023/08/02 10:41:10.000,-7.5009765625,
2023/08/02 10:41:18.000,-7.494140625,
2023/08/02 10:41:41.000,-7.4794921875,
2023/08/02 10:41:42.000,-7.47265625,
2023/08/02 10:41:43.000,-7.4716796875,
2023/08/02 10:41:55.000,-7.4658203125,
2023/08/02 10:42:21.000,-7.45703125,
2023/08/02 10:42:28.000,-7.458984375,
