Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_0/Channel_2.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,New RTD #3,
2023/08/02 10:16:03.000,-34.673828125,
2023/08/02 10:16:07.000,-34.65625,
2023/08/02 10:16:11.000,-34.6494140625,
2023/08/02 10:16:29.000,-34.62890625,
2023/08/02 10:16:31.000,-34.630859375,
2023/08/02 10:16:40.000,-34.626953125,
2023/08/02 10:16:43.000,-34.6259765625,
2023/08/02 10:16:47.000,-34.6357421875,
2023/08/02 10:16:50.000,-34.640625,
2023/08/02 10:16:57.000,-34.6474609375,
2023/08/02 10:17:01.000,-34.666015625,
2023/08/02 10:17:08.000,-34.6787109375,
2023/08/02 10:17:11.000,-34.689453125,
2023/08/02 10:17:14.000,-34.7158203125,
2023/08/02 10:17:18.000,-34.7197265625,
2023/08/02 10:17:30.000,-34.7626953125,
2023/08/02 10:17:33.000,-34.7763671875,
2023/08/02 10:17:38.000,-34.7939453125,
2023/08/02 10:17:41.000,-34.80859375,
2023/08/02 10:17:44.000,-34.8173828125,
2023/08/02 10:17:48.000,-34.8349609375,
2023/08/02 10:17:54.000,-34.8583984375,
2023/08/02 10:17:58.000,-34.8671875,
2023/08/02 10:18:17.000,-34.8984375,
2023/08/02 10:18:22.000,-34.8916015625,
2023/08/02 10:18:26.000,-34.8984375,
2023/08/02 10:18:29.000,-34.8955078125,
2023/08/02 10:18:33.000,-34.892578125,
2023/08/02 10:18:37.000,-34.8916015625,
2023/08/02 10:18:40.000,-34.890625,
2023/08/02 10:18:47.000,-34.873046875,
2023/08/02 10:18:51.000,-34.8720703125,
2023/08/02 10:18:54.000,-34.8564453125,
2023/08/02 10:18:58.000,-34.8447265625,
2023/08/02 10:19:18.000,-34.77734375,
2023/08/02 10:19:28.000,-34.7509765625,
2023/08/02 10:19:38.000,-34.7138671875,
2023/08/02 10:19:44.000,-34.6923828125,
2023/08/02 10:19:48.000,-34.677734375,
2023/08/02 10:19:52.000,-34.66796875,
2023/08/02 10:19:57.000,-34.65625,
2023/08/02 10:20:20.000,-34.62890625,
2023/08/02 10:20:22.000,-34.6318359375,
2023/08/02 10:20:27.000,-34.634765625,
2023/08/02 10:20:30.000,-34.6328125,
2023/08/02 10:20:33.000,-34.6416015625,
2023/08/02 10:20:39.000,-34.64453125,
2023/08/02 10:20:42.000,-34.6494140625,
2023/08/02 10:20:47.000,-34.6611328125,
2023/08/02 10:20:57.000,-34.6923828125,
2023/08/02 10:21:01.000,-34.6982421875,
2023/08/02 10:21:06.000,-34.7109375,
2023/08/02 10:21:09.000,-34.724609375,
2023/08/02 10:21:12.000,-34.744140625,
2023/08/02 10:21:17.000,-34.76171875,
2023/08/02 10:21:20.000,-34.77734375,
2023/08/02 10:21:24.000,-34.7841796875,
2023/08/02 10:21:29.000,-34.8115234375,
2023/08/02 10:21:30.000,-34.8193359375,
2023/08/02 10:21:33.000,-34.8271484375,
2023/08/02 10:21:39.000,-34.841796875,
2023/08/02 10:21:56.000,-34.8798828125,
2023/08/02 10:21:59.000,-34.8837890625,
2023/08/02 10:22:02.000,-34.8876953125,
2023/08/02 10:22:07.000,-34.8955078125,
2023/08/02 10:22:10.000,-34.8935546875,
2023/08/02 10:22:17.000,-34.9013671875,
2023/08/02 10:22:21.000,-34.8955078125,
2023/08/02 10:22:29.000,-34.892578125,
2023/08/02 10:22:33.000,-34.8779296875,
2023/08/02 10:22:47.000,-34.86328125,
2023/08/02 10:22:51.000,-34.8486328125,
2023/08/02 10:23:02.000,-34.8193359375,
2023/08/02 10:23:07.000,-34.806640625,
2023/08/02 10:23:17.000,-34.78125,
2023/08/02 10:23:21.000,-34.7626953125,
2023/08/02 10:23:30.000,-34.7490234375,
2023/08/02 10:23:33.000,-34.7421875,
2023/08/02 10:23:39.000,-34.7255859375,
2023/08/02 10:23:42.000,-34.7216796875,
2023/08/02 10:23:45.000,-34.7158203125,
2023/08/02 10:23:49.000,-34.7060546875,
2023/08/02 10:23:52.000,-34.703125,
2023/08/02 10:24:02.000,-34.640625,
2023/08/02 10:24:05.000,-34.62890625,
2023/08/02 10:24:09.000,-34.6083984375,
2023/08/02 10:24:13.000,-34.5751953125,
2023/08/02 10:24:19.000,-34.5244140625,
2023/08/02 10:24:22.000,-34.5166015625,
2023/08/02 10:24:32.000,-34.4521484375,
2023/08/02 10:24:35.000,-34.4443359375,
2023/08/02 10:24:40.000,-34.435546875,
2023/08/02 10:24:42.000,-34.427734375,
2023/08/02 10:24:48.000,-34.435546875,
2023/08/02 10:24:51.000,-34.427734375,
2023/08/02 10:24:55.000,-34.4375,
2023/08/02 10:25:00.000,-34.4384765625,
2023/08/02 10:25:07.000,-34.4599609375,
2023/08/02 10:25:12.000,-34.46484375,
2023/08/02 10:25:14.000,-34.462890625,
2023/08/02 10:25:19.000,-34.484375,
2023/08/02 10:25:22.000,-34.494140625,
2023/08/02 10:25:25.000,-34.4931640625,
2023/08/02 10:25:29.000,-34.505859375,
2023/08/02 10:25:33.000,-34.51171875,
2023/08/02 10:25:39.000,-34.515625,
2023/08/02 10:25:42.000,-34.5185546875,
2023/08/02 10:25:45.000,-34.5126953125,
2023/08/02 10:25:50.000,-34.5107421875,
2023/08/02 10:26:01.000,-34.4931640625,
2023/08/02 10:26:04.000,-34.4775390625,
2023/08/02 10:26:09.000,-34.4560546875,
2023/08/02 10:26:24.000,-34.3623046875,
2023/08/02 10:26:29.000,-34.3388671875,
2023/08/02 10:26:32.000,-34.3037109375,
2023/08/02 10:26:37.000,-34.2587890625,
2023/08/02 10:26:41.000,-34.2353515625,
2023/08/02 10:26:43.000,-34.2080078125,
2023/08/02 10:26:49.000,-34.1630859375,
2023/08/02 10:27:08.000,-33.99609375,
2023/08/02 10:27:14.000,-33.943359375,
2023/08/02 10:27:19.000,-33.908203125,
2023/08/02 10:27:34.000,-33.8046875,
2023/08/02 10:27:38.000,-33.7939453125,
2023/08/02 10:27:41.000,-33.7802734375,
2023/08/02 10:27:44.000,-33.763671875,
2023/08/02 10:27:49.000,-33.7392578125,
2023/08/02 10:27:52.000,-33.7265625,
2023/08/02 10:27:55.000,-33.720703125,
2023/08/02 10:28:00.000,-33.7158203125,
2023/08/02 10:28:07.000,-33.693359375,
2023/08/02 10:28:12.000,-33.6826171875,
2023/08/02 10:28:19.000,-33.677734375,
2023/08/02 10:28:23.000,-33.6787109375,
2023/08/02 10:28:42.000,-33.6962890625,
2023/08/02 10:28:50.000,-33.70703125,
2023/08/02 10:29:01.000,-33.720703125,
2023/08/02 10:29:19.000,-33.78515625,
2023/08/02 10:29:25.000,-33.7958984375,
2023/08/02 10:29:30.000,-33.796875,
2023/08/02 10:29:38.000,-33.822265625,
2023/08/02 10:29:41.000,-33.8359375,
2023/08/02 10:29:47.000,-33.8408203125,
2023/08/02 10:29:51.000,-33.8466796875,
2023/08/02 10:29:54.000,-33.84375,
2023/08/02 10:29:58.000,-33.8544921875,
2023/08/02 10:30:04.000,-33.8515625,
2023/08/02 10:30:10.000,-33.859375,
2023/08/02 10:30:13.000,-33.84765625,
2023/08/02 10:30:23.000,-33.8515625,
2023/08/02 10:30:32.000,-33.8291015625,
2023/08/02 10:30:35.000,-33.8359375,
2023/08/02 10:30:40.000,-33.8251953125,
2023/08/02 10:30:43.000,-33.810546875,
2023/08/02 10:30:49.000,-33.8076171875,
2023/08/02 10:30:59.000,-33.7900390625,
2023/08/02 10:31:02.000,-33.7822265625,
2023/08/02 10:31:12.000,-33.7568359375,
2023/08/02 10:31:15.000,-33.7529296875,
2023/08/02 10:31:20.000,-33.72265625,
2023/08/02 10:31:29.000,-33.708984375,
2023/08/02 10:31:32.000,-33.697265625,
2023/08/02 10:31:35.000,-33.6884765625,
2023/08/02 10:31:40.000,-33.666015625,
2023/08/02 10:31:51.000,-33.638671875,
2023/08/02 10:31:53.000,-33.6376953125,
2023/08/02 10:32:18.000,-33.5947265625,
2023/08/02 10:32:21.000,-33.6015625,
2023/08/02 10:32:31.000,-33.5869140625,
2023/08/02 10:32:33.000,-33.5966796875,
2023/08/02 10:32:39.000,-33.6015625,
2023/08/02 10:32:42.000,-33.599609375,
2023/08/02 10:32:47.000,-33.611328125,
2023/08/02 10:32:51.000,-33.6240234375,
2023/08/02 10:33:05.000,-33.6572265625,
2023/08/02 10:33:08.000,-33.6708984375,
2023/08/02 10:33:11.000,-33.6884765625,
2023/08/02 10:33:14.000,-33.7041015625,
2023/08/02 10:33:19.000,-33.7294921875,
2023/08/02 10:33:22.000,-33.7490234375,
2023/08/02 10:33:25.000,-33.76171875,
2023/08/02 10:33:30.000,-33.7890625,
2023/08/02 10:33:33.000,-33.80859375,
2023/08/02 10:33:38.000,-33.8251953125,
2023/08/02 10:33:41.000,-33.8544921875,
2023/08/02 10:33:48.000,-33.90234375,
2023/08/02 10:33:51.000,-33.9111328125,
2023/08/02 10:33:55.000,-33.93359375,
2023/08/02 10:34:00.000,-33.9580078125,
2023/08/02 10:34:03.000,-33.966796875,
2023/08/02 10:34:09.000,-33.9912109375,
2023/08/02 10:34:11.000,-33.994140625,
2023/08/02 10:34:15.000,-33.990234375,
2023/08/02 10:34:20.000,-34.0087890625,
2023/08/02 10:34:23.000,-34.0078125,
2023/08/02 10:34:30.000,-34.021484375,
2023/08/02 10:34:33.000,-34.017578125,
2023/08/02 10:34:37.000,-34.0224609375,
2023/08/02 10:34:41.000,-34.0146484375,
2023/08/02 10:34:44.000,-34.013671875,
2023/08/02 10:34:49.000,-34.0107421875,
2023/08/02 10:35:04.000,-33.99609375,
2023/08/02 10:35:09.000,-33.9853515625,
2023/08/02 10:35:12.000,-33.9736328125,
2023/08/02 10:35:15.000,-33.96875,
2023/08/02 10:35:20.000,-33.9609375,
2023/08/02 10:35:28.000,-33.935546875,
2023/08/02 10:35:31.000,-33.919921875,
2023/08/02 10:35:35.000,-33.8994140625,
2023/08/02 10:35:40.000,-33.8759765625,
2023/08/02 10:35:48.000,-33.8515625,
2023/08/02 10:35:51.000,-33.8369140625,
2023/08/02 10:35:54.000,-33.8232421875,
2023/08/02 10:35:56.000,-33.82421875,
2023/08/02 10:36:00.000,-33.8037109375,
2023/08/02 10:36:03.000,-33.787109375,
2023/08/02 10:36:12.000,-33.75390625,
2023/08/02 10:36:15.000,-33.74609375,
2023/08/02 10:36:22.000,-33.712890625,
2023/08/02 10:36:25.000,-33.720703125,
2023/08/02 10:36:29.000,-33.701171875,
2023/08/02 10:36:33.000,-33.6962890625,
2023/08/02 10:36:42.000,-33.66015625,
2023/08/02 10:36:49.000,-33.6376953125,
2023/08/02 10:36:53.000,-33.6298828125,
2023/08/02 10:36:58.000,-33.623046875,
2023/08/02 10:37:01.000,-33.626953125,
2023/08/02 10:37:05.000,-33.619140625,
2023/08/02 10:37:10.000,-33.6142578125,
2023/08/02 10:37:13.000,-33.6103515625,
2023/08/02 10:37:20.000,-33.6279296875,
2023/08/02 10:37:23.000,-33.6298828125,
2023/08/02 10:37:29.000,-33.654296875,
2023/08/02 10:37:39.000,-33.6689453125,
2023/08/02 10:37:41.000,-33.6875,
2023/08/02 10:37:45.000,-33.6943359375,
2023/08/02 10:37:51.000,-33.716796875,
2023/08/02 10:37:56.000,-33.734375,
2023/08/02 10:38:00.000,-33.7431640625,
