Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0.,
2023/08/02 09:17:42.000,-36.05078125,
2023/08/02 09:19:46.000,-36.3701171875,
2023/08/02 09:21:32.000,-36.01171875,
2023/08/02 09:23:42.000,-36.3447265625,
2023/08/02 09:25:22.000,-36.025390625,
2023/08/02 09:27:46.000,-36.3408203125,
2023/08/02 09:29:01.000,-36.029296875,
2023/08/02 09:31:40.000,-36.3359375,
2023/08/02 09:33:08.000,-36.017578125,
2023/08/02 09:35:46.000,-36.3369140625,
2023/08/02 09:37:14.000,-36.0322265625,
2023/08/02 09:39:49.000,-36.3447265625,
2023/08/02 09:41:28.000,-36.01953125,
2023/08/02 09:43:28.000,-36.3310546875,
2023/08/02 09:45:24.000,-36.015625,
2023/08/02 09:47:18.000,-36.3818359375,
2023/08/02 09:49:04.000,-36.0302734375,
2023/08/02 09:51:13.000,-36.384765625,
2023/08/02 09:52:48.000,-36.05078125,
2023/08/02 09:55:22.000,-36.37890625,
2023/08/02 09:56:46.000,-36.021484375,
2023/08/02 09:58:40.000,-36.359375,
2023/08/02 10:00:32.000,-36.0400390625,
2023/08/02 10:02:26.000,-36.369140625,
2023/08/02 10:04:06.000,-36.068359375,
2023/08/02 10:14:04.000,-36.3759765625,
2023/08/02 10:15:18.000,-36.1171875,
2023/08/02 10:16:12.000,-35.876953125,
2023/08/02 10:16:14.000,-35.8818359375,
2023/08/02 10:16:18.000,-35.880859375,
2023/08/02 10:16:20.000,-35.876953125,
2023/08/02 10:16:22.000,-35.8662109375,
2023/08/02 10:16:26.000,-35.8740234375,
2023/08/02 10:16:34.000,-35.900390625,
2023/08/02 10:16:38.000,-35.9052734375,
2023/08/02 10:16:40.000,-35.9365234375,
2023/08/02 10:16:48.000,-35.919921875,
2023/08/02 10:16:52.000,-35.96484375,
2023/08/02 10:16:54.000,-35.9697265625,
2023/08/02 10:17:02.000,-36.03515625,
2023/08/02 10:17:04.000,-36.048828125,
2023/08/02 10:17:20.000,-36.1591796875,
2023/08/02 10:17:22.000,-36.166015625,
2023/08/02 10:17:27.000,-36.169921875,
2023/08/02 10:17:29.000,-36.2021484375,
2023/08/02 10:17:38.000,-36.2548828125,
2023/08/02 10:17:44.000,-36.296875,
2023/08/02 10:17:51.000,-36.283203125,
2023/08/02 10:17:53.000,-36.2958984375,
2023/08/02 10:18:00.000,-36.3232421875,
2023/08/02 10:18:02.000,-36.322265625,
2023/08/02 10:18:07.000,-36.333984375,
2023/08/02 10:18:10.000,-36.3193359375,
2023/08/02 10:18:12.000,-36.3232421875,
2023/08/02 10:18:14.000,-36.3271484375,
2023/08/02 10:18:42.000,-36.25390625,
2023/08/02 10:18:44.000,-36.2392578125,
2023/08/02 10:18:52.000,-36.212890625,
2023/08/02 10:19:00.000,-36.1318359375,
2023/08/02 10:19:03.000,-36.119140625,
2023/08/02 10:19:07.000,-36.103515625,
2023/08/02 10:19:10.000,-36.09375,
2023/08/02 10:19:12.000,-36.068359375,
2023/08/02 10:19:14.000,-36.0546875,
2023/08/02 10:19:20.000,-36.0458984375,
2023/08/02 10:19:22.000,-36.03125,
2023/08/02 10:19:24.000,-35.9921875,
2023/08/02 10:19:30.000,-35.9892578125,
2023/08/02 10:19:32.000,-35.96484375,
2023/08/02 10:19:34.000,-35.9287109375,
2023/08/02 10:19:40.000,-35.9365234375,
2023/08/02 10:19:42.000,-35.921875,
2023/08/02 10:19:44.000,-35.9013671875,
2023/08/02 10:20:00.000,-35.892578125,
2023/08/02 10:20:02.000,-35.8896484375,
2023/08/02 10:20:08.000,-35.9130859375,
2023/08/02 10:20:10.000,-35.9013671875,
2023/08/02 10:20:13.000,-35.8955078125,
2023/08/02 10:20:17.000,-35.9052734375,
2023/08/02 10:20:22.000,-35.919921875,
2023/08/02 10:20:48.000,-36.005859375,
2023/08/02 10:20:50.000,-36.025390625,
2023/08/02 10:20:52.000,-36.0322265625,
2023/08/02 10:20:54.000,-36.048828125,
2023/08/02 10:21:22.000,-36.2314453125,
2023/08/02 10:21:24.000,-36.25,
2023/08/02 10:21:30.000,-36.2646484375,
2023/08/02 10:21:42.000,-36.314453125,
2023/08/02 10:21:44.000,-36.30859375,
2023/08/02 10:21:48.000,-36.3271484375,
2023/08/02 10:21:50.000,-36.3408203125,
2023/08/02 10:21:52.000,-36.3447265625,
2023/08/02 10:22:12.000,-36.322265625,
2023/08/02 10:22:14.000,-36.2998046875,
2023/08/02 10:22:24.000,-36.275390625,
2023/08/02 10:22:34.000,-36.2451171875,
2023/08/02 10:22:38.000,-36.220703125,
2023/08/02 10:22:40.000,-36.2158203125,
2023/08/02 10:22:42.000,-36.2109375,
2023/08/02 10:22:44.000,-36.201171875,
2023/08/02 10:22:53.000,-36.173828125,
2023/08/02 10:22:54.000,-36.1728515625,
2023/08/02 10:22:58.000,-36.140625,
2023/08/02 10:23:08.000,-36.11328125,
2023/08/02 10:23:10.000,-36.078125,
2023/08/02 10:23:12.000,-36.0693359375,
2023/08/02 10:23:14.000,-36.05859375,
2023/08/02 10:23:23.000,-36.0498046875,
2023/08/02 10:23:24.000,-36.0361328125,
2023/08/02 10:23:28.000,-36.015625,
2023/08/02 10:23:50.000,-35.9453125,
2023/08/02 10:23:54.000,-35.880859375,
2023/08/02 10:23:58.000,-35.84375,
2023/08/02 10:24:00.000,-35.8251953125,
2023/08/02 10:24:02.000,-35.8115234375,
2023/08/02 10:24:24.000,-35.5908203125,
2023/08/02 10:24:27.000,-35.5791015625,
2023/08/02 10:24:44.000,-35.630859375,
2023/08/02 10:25:02.000,-35.71875,
2023/08/02 10:25:04.000,-35.728515625,
2023/08/02 10:25:13.000,-35.7685546875,
2023/08/02 10:25:28.000,-35.8173828125,
2023/08/02 10:25:52.000,-35.765625,
2023/08/02 10:25:54.000,-35.7548828125,
2023/08/02 10:25:58.000,-35.724609375,
2023/08/02 10:26:02.000,-35.7197265625,
2023/08/02 10:26:10.000,-35.6904296875,
2023/08/02 10:26:12.000,-35.6181640625,
2023/08/02 10:26:14.000,-35.58984375,
2023/08/02 10:26:18.000,-35.546875,
2023/08/02 10:26:20.000,-35.5107421875,
2023/08/02 10:26:22.000,-35.501953125,
2023/08/02 10:26:24.000,-35.4365234375,
2023/08/02 10:26:34.000,-35.3232421875,
2023/08/02 10:26:40.000,-35.30078125,
2023/08/02 10:26:52.000,-35.0908203125,
2023/08/02 10:26:54.000,-35.07421875,
2023/08/02 10:26:58.000,-35.060546875,
2023/08/02 10:27:00.000,-34.98828125,
2023/08/02 10:27:02.000,-34.98046875,
2023/08/02 10:27:05.000,-34.9658203125,
2023/08/02 10:27:10.000,-34.9169921875,
2023/08/02 10:27:12.000,-34.888671875,
2023/08/02 10:27:20.000,-34.8701171875,
2023/08/02 10:27:22.000,-34.8330078125,
2023/08/02 10:27:24.000,-34.8134765625,
2023/08/02 10:27:28.000,-34.78515625,
2023/08/02 10:27:30.000,-34.7578125,
2023/08/02 10:27:32.000,-34.767578125,
2023/08/02 10:28:02.000,-34.7265625,
2023/08/02 10:28:04.000,-34.71484375,
2023/08/02 10:28:15.000,-34.734375,
2023/08/02 10:28:28.000,-34.791015625,
2023/08/02 10:28:30.000,-34.80859375,
2023/08/02 10:28:32.000,-34.8095703125,
2023/08/02 10:28:35.000,-34.8447265625,
2023/08/02 10:28:39.000,-34.8505859375,
2023/08/02 10:28:52.000,-34.923828125,
2023/08/02 10:28:54.000,-34.927734375,
2023/08/02 10:28:58.000,-34.9306640625,
2023/08/02 10:29:08.000,-35.021484375,
2023/08/02 10:29:10.000,-35.02734375,
2023/08/02 10:29:12.000,-35.041015625,
2023/08/02 10:29:14.000,-35.0224609375,
2023/08/02 10:29:20.000,-35.0673828125,
2023/08/02 10:29:32.000,-35.1240234375,
2023/08/02 10:29:34.000,-35.125,
2023/08/02 10:29:42.000,-35.1513671875,
2023/08/02 10:29:44.000,-35.1552734375,
2023/08/02 10:29:54.000,-35.1767578125,
2023/08/02 10:30:00.000,-35.158203125,
2023/08/02 10:30:02.000,-35.1552734375,
2023/08/02 10:30:08.000,-35.1513671875,
2023/08/02 10:30:18.000,-35.1298828125,
2023/08/02 10:30:28.000,-35.125,
2023/08/02 10:30:30.000,-35.1337890625,
2023/08/02 10:30:32.000,-35.1123046875,
2023/08/02 10:30:52.000,-35.0458984375,
2023/08/02 10:30:54.000,-35.0390625,
2023/08/02 10:31:00.000,-35.0302734375,
2023/08/02 10:31:04.000,-34.9990234375,
2023/08/02 10:31:08.000,-34.986328125,
2023/08/02 10:31:10.000,-35.001953125,
