Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_1/Channel_4.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_3/Channel_5.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_0/Channel_2.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_1/Channel_0.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_1/Channel_3.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_3/Channel_4.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_1/Channel_3.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_1/Channel_4,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_3/Channel_5,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_0/Channel_2,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_1/Channel_0,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_1/Channel_3,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_3/Channel_4,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_1/Channel_3,
2023/08/18 09:35:50.000,,,,,,19.6298828125,,,
2023/08/18 09:35:52.000,,,,,,19.634765625,,,
2023/08/18 09:35:54.000,,,,,,19.62109375,,,
2023/08/18 09:35:58.000,,,,,,19.630859375,,,
2023/08/18 09:36:00.000,,,,,,19.6337890625,,,
2023/08/18 09:36:02.000,,,,,,19.6416015625,,,
2023/08/18 09:36:04.000,,,,,,19.6376953125,,,
2023/08/18 09:36:07.000,19.927734375,19.849609375,,,,,19.65234375,19.8193359375,
2023/08/18 09:36:08.000,,,20.162109375,20.1728515625,20.220703125,,,,
2023/08/18 09:36:10.000,,,,,,19.634765625,,,
2023/08/18 09:36:12.000,,,,,,19.6220703125,,,
2023/08/18 09:36:14.000,,,,,,19.6396484375,,,
2023/08/18 09:36:18.000,,,,,,19.6572265625,,,
2023/08/18 09:36:20.000,,,,,,19.6708984375,,,
2023/08/18 09:36:22.000,,,,,,19.6640625,,,
2023/08/18 09:36:24.000,,,,,,19.65625,,,
2023/08/18 09:36:26.000,20.021484375,19.900390625,,,,,19.669921875,19.8369140625,
2023/08/18 09:36:27.000,,,20.1640625,20.1806640625,20.2236328125,,,,
2023/08/18 09:36:31.000,,,20.1591796875,20.1845703125,20.20703125,,,,
2023/08/18 09:36:32.000,,,,,,19.6484375,,,
2023/08/18 09:36:34.000,,,,,,19.669921875,,,
2023/08/18 09:36:38.000,,,,,,19.65625,,,
2023/08/18 09:36:40.000,,,,,,19.6767578125,,,
2023/08/18 09:36:42.000,,,20.1708984375,20.181640625,20.2236328125,19.6748046875,,,
2023/08/18 09:36:43.000,20.1318359375,19.919921875,,,,,19.681640625,19.87890625,
2023/08/18 09:36:44.000,,,20.171875,20.1728515625,20.228515625,,,,
2023/08/18 09:36:49.000,,,20.17578125,20.18359375,20.2236328125,,,,
2023/08/18 09:36:53.000,,,20.18359375,20.1904296875,20.21875,,,,
2023/08/18 09:36:54.000,,,,,,19.6767578125,,,
2023/08/18 09:36:58.000,,,,,,19.6650390625,,,
2023/08/18 09:36:59.000,20.16796875,19.9091796875,,,,,19.6640625,,
2023/08/18 09:37:00.000,,,20.171875,20.1923828125,20.234375,,,,
2023/08/18 09:37:02.000,,,,,,19.65625,,,
2023/08/18 09:37:04.000,,,,,,19.6689453125,,,
2023/08/18 09:37:07.000,,,,,,19.666015625,,,
2023/08/18 09:37:10.000,,,,,,19.6708984375,,,
2023/08/18 09:37:12.000,,,,,,19.6767578125,,,
2023/08/18 09:37:13.000,,,20.1806640625,20.197265625,20.224609375,,,,
2023/08/18 09:37:15.000,,,20.185546875,20.1962890625,20.22265625,,,,
2023/08/18 09:37:20.000,,,20.17578125,,20.2236328125,,,,
2023/08/18 09:37:21.000,20.0791015625,19.8955078125,,,,,19.6796875,19.8759765625,
2023/08/18 09:37:22.000,,,20.1748046875,20.1875,20.2158203125,,,,
2023/08/18 09:37:25.000,,,20.1669921875,20.1845703125,20.2197265625,,,,
2023/08/18 09:37:30.000,,,,20.1884765625,20.21875,,,,
