Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_0/Channel_2.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_0/Channel_2.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_0/Channel_2,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_0/Channel_2,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0,
2023/08/24 11:47:44.000,-45.060546875,,,
2023/08/24 11:47:46.000,,,-32.4541015625,
2023/08/24 11:47:48.000,,,-32.47265625,
2023/08/24 11:47:51.000,,-30.2646484375,,
2023/08/24 11:47:52.000,-45.0869140625,,,
2023/08/24 11:47:55.000,-45.0927734375,,,
2023/08/24 11:47:58.000,,,-32.50390625,
2023/08/24 11:47:59.000,,-30.3017578125,,
2023/08/24 11:52:54.000,-33.8623046875,,,
2023/08/24 11:52:55.000,,-33.283203125,,
2023/08/24 11:52:56.000,-33.8466796875,,,
2023/08/24 11:52:59.000,-33.8330078125,,,
2023/08/24 11:53:04.000,-33.7958984375,,,
2023/08/24 11:53:05.000,,-33.2255859375,,
2023/08/24 11:53:06.000,-33.787109375,,,
2023/08/24 11:53:08.000,,,-33.3662109375,
2023/08/24 11:56:10.000,,-32.57421875,,
2023/08/24 11:56:12.000,,-32.5546875,,
2023/08/24 11:56:13.000,-32.802734375,,,
2023/08/24 11:56:16.000,,,-32.7998046875,
2023/08/24 11:56:19.000,-32.767578125,,,
2023/08/24 11:56:23.000,-32.7490234375,,,
2023/08/24 11:56:25.000,,-32.5703125,,
2023/08/24 11:59:25.000,-32.451171875,,,
2023/08/24 11:59:27.000,,-32.625,,
2023/08/24 11:59:28.000,-32.4619140625,,,
2023/08/24 11:59:30.000,-32.458984375,,-33.0302734375,
2023/08/24 11:59:34.000,-32.4814453125,,,
2023/08/24 11:59:35.000,,-32.662109375,,
2023/08/24 11:59:36.000,-32.494140625,,,
2023/08/24 12:04:27.000,,-32.921875,,
2023/08/24 12:04:28.000,-32.466796875,,,
2023/08/24 12:04:33.000,-32.50390625,,,
2023/08/24 12:04:34.000,,,-33.40625,
2023/08/24 12:04:36.000,,,-33.4365234375,
2023/08/24 12:04:38.000,,,-33.4423828125,
2023/08/24 12:04:40.000,,,-33.44140625,
2023/08/24 12:04:42.000,,-33.001953125,,
2023/08/24 12:09:51.000,,,-33.3046875,
2023/08/24 12:09:54.000,,-32.9248046875,,
2023/08/24 12:09:55.000,-32.6015625,,,
2023/08/24 12:09:58.000,,,-33.36328125,
2023/08/24 12:10:00.000,,,-33.3779296875,
2023/08/24 11:37:42.000,,,-32.4375,
2023/08/24 11:37:52.000,,,-32.4150390625,
2023/08/24 11:42:46.000,,,-32.6162109375,
2023/08/24 11:42:54.000,,,-32.6884765625,
2023/08/24 11:42:56.000,,,-32.708984375,
2023/08/24 11:48:07.000,,,-32.53125,
2023/08/24 11:48:08.000,,,-32.546875,
2023/08/24 11:48:12.000,,,-32.55859375,
2023/08/24 11:48:14.000,,,-32.5517578125,
2023/08/24 11:48:16.000,,,-32.5380859375,
2023/08/24 11:59:48.000,,,-33.12109375,
2023/08/24 11:59:55.000,,,-33.134765625,
2023/08/24 12:04:49.000,,,-33.4375,
2023/08/24 12:04:50.000,,,-33.43359375,
2023/08/24 12:04:54.000,,,-33.44140625,
2023/08/24 11:37:54.000,,,-32.392578125,
2023/08/24 11:37:56.000,,,-32.361328125,
2023/08/24 11:38:04.000,,,-32.263671875,
2023/08/24 11:38:06.000,,,-32.2353515625,
2023/08/24 11:42:58.000,,,-32.7373046875,
2023/08/24 11:43:02.000,,,-32.771484375,
2023/08/24 11:43:12.000,,,-32.828125,
2023/08/24 11:43:14.000,,,-32.8466796875,
2023/08/24 11:43:16.000,,,-32.8525390625,
2023/08/24 11:48:32.000,,,-32.447265625,
2023/08/24 11:48:37.000,,,-32.396484375,
2023/08/24 11:48:38.000,,,-32.3857421875,
2023/08/24 11:48:41.000,,,-32.375,
2023/08/24 12:00:10.000,,,-33.171875,
2023/08/24 12:00:14.000,,,-33.1650390625,
2023/08/24 12:00:16.000,,,-33.1904296875,
2023/08/24 11:38:18.000,,,-32.0478515625,
2023/08/24 11:43:32.000,,,-32.8955078125,
2023/08/24 11:48:44.000,,,-32.3681640625,
2023/08/24 11:48:46.000,,,-32.3564453125,
2023/08/24 11:48:49.000,,,-32.3681640625,
2023/08/24 11:48:56.000,,,-32.3984375,
2023/08/24 11:48:58.000,,,-32.4169921875,
2023/08/24 11:49:02.000,,,-32.4462890625,
2023/08/24 12:00:30.000,,,-33.232421875,
2023/08/24 12:05:38.000,,,-33.8056640625,
2023/08/24 12:05:40.000,,,-33.82421875,
2023/08/24 12:05:44.000,,,-33.8564453125,
2023/08/24 11:38:28.000,,,-31.96875,
2023/08/24 11:38:31.000,,,-31.9775390625,
2023/08/24 11:38:34.000,,,-31.9736328125,
2023/08/24 11:38:44.000,,,-32.009765625,
2023/08/24 11:43:42.000,,,-32.9169921875,
2023/08/24 11:43:52.000,,,-32.9306640625,
2023/08/24 11:49:16.000,,,-32.5322265625,
2023/08/24 11:49:18.000,,,-32.546875,
2023/08/24 12:00:40.000,,,-33.244140625,
2023/08/24 12:00:43.000,,,-33.2548828125,
2023/08/24 12:00:47.000,,,-33.2646484375,
2023/08/24 12:00:56.000,,,-33.294921875,
2023/08/24 11:44:02.000,,,-32.8759765625,
2023/08/24 11:44:12.000,,,-32.76953125,
2023/08/24 11:44:14.000,,,-32.7451171875,
2023/08/24 11:44:16.000,,,-32.7158203125,
2023/08/24 11:49:23.000,,,-32.5751953125,
2023/08/24 11:49:28.000,,,-32.6103515625,
2023/08/24 11:49:32.000,,,-32.623046875,
2023/08/24 11:49:34.000,,,-32.6201171875,
2023/08/24 11:49:36.000,,,-32.6767578125,
2023/08/24 11:49:38.000,,,-32.857421875,
2023/08/24 12:01:00.000,,,-33.31640625,
2023/08/24 12:01:04.000,,,-33.322265625,
2023/08/24 12:01:06.000,,,-33.318359375,
2023/08/24 12:01:08.000,,,-33.326171875,
2023/08/24 12:06:08.000,,,-33.8837890625,
2023/08/24 12:06:10.000,,,-33.888671875,
2023/08/24 12:06:14.000,,,-33.8291015625,
2023/08/24 11:39:16.000,,,-32.28125,
2023/08/24 11:39:18.000,,,-32.2841796875,
2023/08/24 11:44:24.000,,,-32.619140625,
2023/08/24 11:44:26.000,,,-32.5927734375,
2023/08/24 11:49:41.000,,,-32.943359375,
2023/08/24 11:49:45.000,,,-32.9853515625,
2023/08/24 11:49:47.000,,,-33.00390625,
2023/08/24 11:49:52.000,,,-33.046875,
2023/08/24 11:49:54.000,,,-33.048828125,
2023/08/24 11:49:56.000,,,-33.052734375,
2023/08/24 12:01:20.000,,,-33.353515625,
2023/08/24 12:01:30.000,,,-33.3212890625,
2023/08/24 12:06:28.000,,,-33.7548828125,
2023/08/24 12:06:30.000,,,-33.740234375,
2023/08/24 12:06:40.000,,,-33.7705078125,
2023/08/24 12:06:44.000,,,-33.8076171875,
2023/08/24 11:34:24.000,,,-32.0400390625,
2023/08/24 11:34:26.000,,,-32.0361328125,
