Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_0/Channel_2.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,New RTD #3,
2023/07/26 09:00:08.000,-34.326171875,
2023/07/26 09:06:52.000,-34.021484375,
2023/07/26 09:08:17.000,-33.978515625,
2023/07/26 09:08:22.000,-33.9921875,
2023/07/26 09:08:30.000,-34.021484375,
2023/07/26 09:08:33.000,-34.037109375,
2023/07/26 09:08:36.000,-34.0478515625,
2023/07/26 09:08:42.000,-34.0732421875,
2023/07/26 09:08:45.000,-34.0751953125,
2023/07/26 09:08:52.000,-34.10546875,
2023/07/26 09:08:55.000,-34.1103515625,
2023/07/26 09:09:04.000,-34.130859375,
2023/07/26 09:09:07.000,-34.138671875,
2023/07/26 09:09:12.000,-34.1484375,
2023/07/26 09:09:15.000,-34.1435546875,
2023/07/26 09:09:21.000,-34.14453125,
2023/07/26 09:09:25.000,-34.1455078125,
2023/07/26 09:09:27.000,-34.1435546875,
2023/07/26 09:09:32.000,-34.126953125,
2023/07/26 09:09:35.000,-34.1259765625,
2023/07/26 09:09:41.000,-34.1162109375,
2023/07/26 09:09:44.000,-34.11328125,
2023/07/26 09:10:24.000,-34.009765625,
2023/07/26 09:10:33.000,-34.005859375,
2023/07/26 09:10:47.000,-33.9873046875,
2023/07/26 09:10:50.000,-33.9853515625,
2023/07/26 09:10:56.000,-33.97265625,
2023/07/26 09:11:01.000,-33.955078125,
2023/07/26 09:11:24.000,-33.9501953125,
2023/07/26 09:11:27.000,-33.947265625,
2023/07/26 09:11:32.000,-33.9482421875,
2023/07/26 09:11:35.000,-33.947265625,
2023/07/26 09:11:40.000,-33.955078125,
2023/07/26 09:11:44.000,-33.9541015625,
2023/07/26 09:11:50.000,-33.9814453125,
2023/07/26 09:11:53.000,-33.982421875,
2023/07/26 09:11:59.000,-34.0009765625,
2023/07/26 09:12:03.000,-34.005859375,
2023/07/26 09:12:05.000,-34.013671875,
2023/07/26 09:12:10.000,-34.03125,
2023/07/26 09:12:13.000,-34.041015625,
2023/07/26 09:12:16.000,-34.05859375,
2023/07/26 09:12:18.000,-34.0615234375,
2023/07/26 09:12:22.000,-34.078125,
2023/07/26 09:12:30.000,-34.0986328125,
2023/07/26 09:12:33.000,-34.12109375,
2023/07/26 09:12:36.000,-34.1337890625,
2023/07/26 09:12:40.000,-34.1533203125,
2023/07/26 09:12:44.000,-34.1708984375,
2023/07/26 09:12:50.000,-34.1875,
2023/07/26 09:12:53.000,-34.2001953125,
2023/07/26 09:13:00.000,-34.2216796875,
2023/07/26 09:13:03.000,-34.224609375,
