Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_0/Channel_2.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,New RTD #3,
2023/06/28 11:48:16.000,-32.095703125,
2023/06/28 11:48:26.000,-32.10546875,
2023/06/28 11:48:39.000,-32.1083984375,
2023/06/28 11:48:42.000,-32.1044921875,
2023/06/28 11:48:49.000,-32.107421875,
2023/06/28 11:48:52.000,-32.103515625,
2023/06/28 11:48:56.000,-32.1044921875,
2023/06/28 11:49:00.000,-32.09375,
2023/06/28 11:49:04.000,-32.08203125,
2023/06/28 11:49:10.000,-32.0751953125,
2023/06/28 11:49:16.000,-32.06640625,
2023/06/28 11:49:26.000,-32.048828125,
2023/06/28 11:49:30.000,-32.0439453125,
2023/06/28 11:49:34.000,-32.03125,
2023/06/28 11:49:38.000,-32.0341796875,
2023/06/28 11:49:41.000,-32.021484375,
2023/06/28 11:50:43.000,-32.052734375,
2023/06/28 11:50:48.000,-32.056640625,
2023/06/28 11:50:51.000,-32.0576171875,
2023/06/28 11:50:56.000,-32.0703125,
2023/06/28 11:50:59.000,-32.0732421875,
2023/06/28 11:51:06.000,-32.0888671875,
2023/06/28 11:51:08.000,-32.08984375,
2023/06/28 11:51:21.000,-32.109375,
2023/06/28 11:51:24.000,-32.107421875,
2023/06/28 11:51:29.000,-32.1181640625,
2023/06/28 11:51:32.000,-32.12109375,
2023/06/28 11:51:36.000,-32.1123046875,
2023/06/28 11:51:39.000,-32.1220703125,
2023/06/28 11:51:42.000,-32.107421875,
2023/06/28 11:51:46.000,-32.109375,
2023/06/28 11:51:50.000,-32.10546875,
2023/06/28 11:51:57.000,-32.103515625,
2023/06/28 11:52:00.000,-32.095703125,
2023/06/28 11:52:06.000,-32.09375,
2023/06/28 11:52:09.000,-32.076171875,
2023/06/28 11:52:18.000,-32.06640625,
2023/06/28 11:52:29.000,-32.03515625,
2023/06/28 11:52:32.000,-32.0400390625,
2023/06/28 11:52:36.000,-32.0361328125,
2023/06/28 11:52:40.000,-32.033203125,
2023/06/28 11:52:42.000,-32.025390625,
2023/06/28 11:52:48.000,-32.021484375,
2023/06/28 11:52:51.000,-32.0029296875,
2023/06/28 11:52:56.000,-32.0009765625,
2023/06/28 11:53:00.000,-32.005859375,
2023/06/28 11:53:10.000,-32.0009765625,
2023/06/28 11:53:13.000,-32.005859375,
2023/06/28 11:53:23.000,-32.0009765625,
2023/06/28 11:53:28.000,-32.005859375,
2023/06/28 11:53:32.000,-32.0078125,
2023/06/28 11:53:36.000,-32.0146484375,
2023/06/28 11:53:42.000,-32.0234375,
2023/06/28 11:53:48.000,-32.0263671875,
2023/06/28 11:53:51.000,-32.0361328125,
2023/06/28 11:53:54.000,-32.0390625,
2023/06/28 11:53:59.000,-32.0361328125,
2023/06/28 11:54:02.000,-32.0380859375,
2023/06/28 11:54:08.000,-32.0439453125,
2023/06/28 11:54:12.000,-32.0478515625,
2023/06/28 11:54:17.000,-32.0615234375,
2023/06/28 11:54:20.000,-32.060546875,
2023/06/28 11:54:24.000,-32.0634765625,
2023/06/28 11:54:29.000,-32.0703125,
2023/06/28 11:54:38.000,-32.08203125,
2023/06/28 11:54:43.000,-32.0849609375,
2023/06/28 11:55:09.000,-32.0615234375,
2023/06/28 11:55:12.000,-32.0537109375,
2023/06/28 11:55:16.000,-32.052734375,
2023/06/28 11:55:21.000,-32.0439453125,
2023/06/28 11:55:24.000,-32.044921875,
2023/06/28 11:55:28.000,-32.0390625,
2023/06/28 11:55:31.000,-32.0380859375,
2023/06/28 11:55:34.000,-32.033203125,
2023/06/28 11:55:39.000,-32.0341796875,
2023/06/28 11:55:47.000,-32.0244140625,
2023/06/28 11:55:51.000,-32.025390625,
2023/06/28 11:55:57.000,-32.017578125,
2023/06/28 11:56:00.000,-32.0234375,
2023/06/28 11:56:06.000,-32.0263671875,
2023/06/28 11:56:10.000,-32.0244140625,
2023/06/28 11:56:13.000,-32.021484375,
2023/06/28 11:56:23.000,-32.0341796875,
2023/06/28 11:56:28.000,-32.0400390625,
2023/06/28 11:56:33.000,-32.0439453125,
2023/06/28 11:56:38.000,-32.0537109375,
2023/06/28 11:56:46.000,-32.0576171875,
2023/06/28 11:56:50.000,-32.068359375,
2023/06/28 11:56:52.000,-32.060546875,
2023/06/28 11:56:56.000,-32.076171875,
2023/06/28 11:57:00.000,-32.072265625,
2023/06/28 11:57:08.000,-32.0810546875,
2023/06/28 11:57:11.000,-32.08203125,
2023/06/28 11:57:14.000,-32.0791015625,
2023/06/28 11:57:18.000,-32.0859375,
2023/06/28 11:57:21.000,-32.0771484375,
2023/06/28 11:57:26.000,-32.083984375,
2023/06/28 11:57:32.000,-32.0810546875,
2023/06/28 11:57:38.000,-32.0732421875,
2023/06/28 11:57:41.000,-32.0771484375,
2023/06/28 11:57:47.000,-32.068359375,
2023/06/28 11:57:50.000,-32.0703125,
2023/06/28 11:57:56.000,-32.0576171875,
2023/06/28 11:58:00.000,-32.0517578125,
2023/06/28 11:58:08.000,-32.044921875,
2023/06/28 11:58:11.000,-32.0341796875,
2023/06/28 11:58:21.000,-32.0283203125,
2023/06/28 11:58:24.000,-32.025390625,
2023/06/28 11:58:29.000,-32.017578125,
2023/06/28 11:58:31.000,-32.0126953125,
2023/06/28 11:58:34.000,-32.0107421875,
2023/06/28 11:58:39.000,-32.0029296875,
2023/06/28 11:58:41.000,-31.9990234375,
2023/06/28 11:58:44.000,-31.998046875,
2023/06/28 11:58:49.000,-32.005859375,
2023/06/28 11:58:51.000,-32.0078125,
2023/06/28 11:58:54.000,-32.005859375,
2023/06/28 11:58:59.000,-31.9990234375,
2023/06/28 11:59:01.000,-32.0078125,
